loyalty-wrapper-customertransaction-deploy,integration-r2,loyalty-wrapper-customertransaction.pt-2-integration.tatadigital.com
loyalty-wrapper-fetchcustomertransactions-deploy,integration-r2,loyalty-wrapper-fetchcustomertransactions.pt-2-integration.tatadigital.com
loyalty-wrapper-fetchexchangerate-deploy,integration-r2,loyalty-wrapper-fetchexchangerate.pt-2-integration.tatadigital.com
loyalty-wrapper-fetchredemption-deploy,integration-r2,loyalty-wrapper-fetchredemption.pt-2-integration.tatadigital.com
loyalty-wrapper-generateotp-deploy,integration-r2,loyalty-wrapper-generateotp.pt-2-integration.tatadigital.com
loyalty-wrapper-generatetoken-deploy,integration-r2,loyalty-wrapper-generatetoken.pt-2-integration.tatadigital.com
loyalty-wrapper-getotp-deploy,integration-r2,loyalty-wrapper-getotp.pt-2-integration.tatadigital.com
loyalty-wrapper-goodwillpoint-deploy,integration-r2,loyalty-wrapper-goodwillpoint.pt-2-integration.tatadigital.com
loyalty-wrapper-oeintegration-deploy,integration-r2,loyalty-wrapper-oeintegration.pt-2-integration.tatadigital.com
loyalty-wrapper-pointssimulation-deploy,integration-r2,loyalty-wrapper-pointssimulation.pt-2-integration.tatadigital.com
loyalty-wrapper-redeemablepoint-deploy,integration-r2,loyalty-wrapper-redeemablepoint.pt-2-integration.tatadigital.com
loyalty-wrapper-reedempoint-deploy,integration-r2,loyalty-wrapper-reedempoint.pt-2-integration.tatadigital.com
loyalty-wrapper-reversepoint-deploy,integration-r2,loyalty-wrapper-reversepoint.pt-2-integration.tatadigital.com
loyalty-wrapper-shangrila-eventbaseearn-deploy,integration-r2,loyalty-wrapper-shangrila-eventbaseearn.pt-2-integration.tatadigital.com
loyalty-wrapper-shangrilagcenrol-deploy,integration-r2,loyalty-wrapper-shangrilagcenrol.pt-2-integration.tatadigital.com
loyalty-wrapper-validateotp-deploy,integration-r2,loyalty-wrapper-validateotp.pt-2-integration.tatadigital.com
msd-wrapper-multirecommendation-deploy,integration-r2,msd-wrapper-multirecommendation.pt-2-integration.tatadigital.com
msd-wrapper-recommendationapi-deploy,integration-r2,msd-wrapper-recommendationapi.pt-2-integration.tatadigital.com
msd-wrapper-searchapi-deploy,integration-r2,msd-wrapper-searchapi.pt-2-integration.tatadigital.com
offer-func-multirecommendation-deploy,integration-r2,offer-func-multirecommendation.pt-2-integration.tatadigital.com
offer-func-offeraggregatedbanner-deploy,integration-r2,offer-func-offeraggregatedbanner.pt-2-integration.tatadigital.com
offer-func-offersnearme-deploy,integration-r2,offer-func-offersnearme.pt-2-integration.tatadigital.com
offer-func-offersonstore-deploy,integration-r2,offer-func-offersonstore.pt-2-integration.tatadigital.com
offer-func-popularoffers-deploy,integration-r2,offer-func-popularoffers.pt-2-integration.tatadigital.com
offer-func-shareoffersnontcp-deploy,integration-r2,offer-func-shareoffersnontcp.pt-2-integration.tatadigital.com
offer-func-trendingandrecentsearch-deploy,integration-r2,offer-func-trendingandrecentsearch.pt-2-integration.tatadigital.com
offer-wrapper-aggregatedbanner-deploy,integration-r2,offer-wrapper-aggregatedbanner.pt-2-integration.tatadigital.com
offer-wrapper-allocatecoupon-deploy,integration-r2,offer-wrapper-allocatecoupon.pt-2-integration.tatadigital.com
offer-wrapper-curatedbanner-deploy,integration-r2,offer-wrapper-curatedbanner.pt-2-integration.tatadigital.com
offer-wrapper-customerhashretrieval-deploy,integration-r2,offer-wrapper-customerhashretrieval.pt-2-integration.tatadigital.com
offer-wrapper-eventhubpublish-deploy,integration-r2,offer-wrapper-eventhubpublish.pt-2-integration.tatadigital.com
offer-wrapper-fetchcustomeroffersbystatus-deploy,integration-r2,offer-wrapper-fetchcustomeroffersbystatus.pt-2-integration.tatadigital.com
offer-wrapper-getcustomerpromotiondetails-deploy,integration-r2,offer-wrapper-getcustomerpromotiondetails.pt-2-integration.tatadigital.com
offer-wrapper-getoffersdescriptiondetails-deploy,integration-r2,offer-wrapper-getoffersdescriptiondetails.pt-2-integration.tatadigital.com
offer-wrapper-getredemptiondetails-deploy,integration-r2,offer-wrapper-getredemptiondetails.pt-2-integration.tatadigital.com
offer-wrapper-promotioncustomermapping-deploy,integration-r2,offer-wrapper-promotioncustomermapping.pt-2-integration.tatadigital.com
offer-wrapper-removeofferfromvault-deploy,integration-r2,offer-wrapper-removeofferfromvault.pt-2-integration.tatadigital.com
offer-wrapper-shareoffernontcp-deploy,integration-r2,offer-wrapper-shareoffernontcp.pt-2-integration.tatadigital.com
offer-wrapper-unmapcustomerpromotion-deploy,integration-r2,offer-wrapper-unmapcustomerpromotion.pt-2-integration.tatadigital.com
offer-wrapper-unredeemoffer-deploy,integration-r2,offer-wrapper-unredeemoffer.pt-2-integration.tatadigital.com
sso-func-logout-deploy,integration-r2,sso-func-logout.pt-2-integration.tatadigital.com
sso-func-validatetoken-deploy,integration-r2,sso-func-validatetoken.pt-2-integration.tatadigital.com
sso-wrapper-validatetoken-deploy,integration-r2,sso-wrapper-validatetoken.pt-2-integration.tatadigital.com
