cs-func-cspay-deploy,integration,cs-func-cspay.pt-integration.tatadigital.com
cs-func-insurance-deploy,integration,cs-func-insurance.pt-integration.tatadigital.com
cs-func-paymentcreditline-deploy,integration,cs-func-paymentcreditline.pt-integration.tatadigital.com
cs-func-quickwebui-deploy,integration,cs-func-quickwebui.pt-integration.tatadigital.com
cs-func-siebel-deploy,integration,cs-func-siebel.pt-integration.tatadigital.com
dp-eventhub-consume-acceptconsent-deploy,integration,dp-eventhub-consume-acceptconsent.pt-integration.tatadigital.com
dp-eventhub-consume-createcustomer-deploy,integration,dp-eventhub-consume-createcustomer.pt-integration.tatadigital.com
dp-eventhub-consume-epicure-enrollment-offline-deploy,integration,dp-eventhub-consume-epicure-enrollment-offline.pt-integration.tatadigital.com
dp-eventhub-consume-mergecustomer-deploy,integration,dp-eventhub-consume-mergecustomer.pt-integration.tatadigital.com
dp-eventhub-consume-sibeladdcustomer-deploy,integration,dp-eventhub-consume-sibeladdcustomer.pt-integration.tatadigital.com
dp-eventhub-consume-updateprofile-deploy,integration,dp-eventhub-consume-updateprofile.pt-integration.tatadigital.com
dp-eventhub-consume-updatesibel-deploy,integration,dp-eventhub-consume-updatesibel.pt-integration.tatadigital.com
,integration,dp-eventhub-createcustomer.pt-integration.tatadigital.com
,integration,dp-eventhub-enrollihclcustomer.pt-integration.tatadigital.com
,integration,dp-eventhub-leadgen.pt-integration.tatadigital.com
,integration,dp-eventhub-mergecustomer.pt-integration.tatadigital.com
dp-eventhub-offershare-deploy,integration,dp-eventhub-offershare.pt-integration.tatadigital.com
,integration,dp-eventhub-updateprofile.pt-integration.tatadigital.com
dp-func-consumeenrollihclcustomer-deploy,integration,dp-func-consumeenrollihclcustomer.pt-integration.tatadigital.com
dp-func-create-update-lead-deploy,integration,dp-func-create-update-lead.pt-integration.tatadigital.com
dp-func-creategr-deploy,integration,dp-func-creategr.pt-integration.tatadigital.com
dp-func-enroll-lead-sso-deploy,integration,dp-func-enroll-lead-sso.pt-integration.tatadigital.com
dp-func-mergecustomer-deploy,integration,dp-func-mergecustomer.pt-integration.tatadigital.com
dp-func-offer-to-capillary-deploy,integration,dp-func-offer-to-capillary.pt-integration.tatadigital.com
dp-func-subscriber-entitlement-deploy,integration,dp-func-subscriber-entitlement.pt-integration.tatadigital.com
dp-func-userdelete-deploy,integration,dp-func-userdelete.pt-integration.tatadigital.com
dp-func-userinactive-deploy,integration,dp-func-userinactive.pt-integration.tatadigital.com
dp-func-userreactive-deploy,integration,dp-func-userreactive.pt-integration.tatadigital.com
dp-wrapper-addressupdate-deploy,integration,dp-wrapper-addressupdate.pt-integration.tatadigital.com
dp-wrapper-changemobilenumber-deploy,integration,dp-wrapper-changemobilenumber.pt-integration.tatadigital.com
dp-wrapper-checkgr-deploy,integration,dp-wrapper-checkgr.pt-integration.tatadigital.com
dp-wrapper-checkgrpi-deploy,integration,dp-wrapper-checkgrpi.pt-integration.tatadigital.com
dp-wrapper-connectcache-deploy,integration,dp-wrapper-connectcache.pt-integration.tatadigital.com
dp-wrapper-create-update-lead-deploy,integration,dp-wrapper-create-update-lead.pt-integration.tatadigital.com
dp-wrapper-creategr-deploy,integration,dp-wrapper-creategr.pt-integration.tatadigital.com
dp-wrapper-fetch-brandlist-deploy,integration,dp-wrapper-fetch-brandlist.pt-integration.tatadigital.com
dp-wrapper-fetch-consent-deploy,integration,dp-wrapper-fetch-consent.pt-integration.tatadigital.com
dp-wrapper-fetchcustomer-deploy,integration,dp-wrapper-fetchcustomer.pt-integration.tatadigital.com
dp-wrapper-fetchmobilenumberbyrefid-deploy,integration,dp-wrapper-fetchmobilenumberbyrefid.pt-integration.tatadigital.com
dp-wrapper-generateotp-deploy,integration,dp-wrapper-generateotp.pt-integration.tatadigital.com
dp-wrapper-getconflictrecords-usingpost-deploy,integration,dp-wrapper-getconflictrecords-usingpost.pt-integration.tatadigital.com
dp-wrapper-insert-consent-deploy,integration,dp-wrapper-insert-consent.pt-integration.tatadigital.com
dp-wrapper-mergecustomer-deploy,integration,dp-wrapper-mergecustomer.pt-integration.tatadigital.com
,integration,dp-wrapper-signin.pt-integration.tatadigital.com
